date,district,grade,highest_price_rs_kg,average_price_rs_kg
02.02.2016,Gampaha,C-4,1350.0,1175.0
02.02.2016,Hambantota,H-1,1520.0,1520.0
02.02.2016,National,Gorosu,1200.0,871.0
02.02.2016,National,Heen,1400.0,1096.0
02.02.2016,National,H-Faq,1350.0,1300.0
02.02.2016,National,H-2,1480.0,1328.0
02.02.2016,Matara,M-5,1550.0,1520.0
02.02.2016,National,M-4,1520.0,1340.0
02.02.2016,Hambantota,C-4,1560.0,1560.0
02.02.2016,National,C-4,1600.0,1451.88
02.02.2016,Galle,Alba,2050.0,2000.0
02.02.2016,National,C-5 Sp,1800.0,1708.33
02.02.2016,National,Alba,2150.0,2042.4
02.02.2016,Monaragala,Gorosu,950.0,917.0
02.02.2016,National,M-5,1550.0,1385.0
02.02.2016,Hambantota,Gorosu,1460.0,1455.0
02.02.2016,Matara,C-5 Sp,1800.0,1800.0
02.02.2016,Ratnapura,C-4,1350.0,1300.0
02.02.2016,Galle,C-5,1650.0,1625.0
02.02.2016,Ratnapura,H-1,1250.0,1225.0
02.02.2016,Badulla,Heen,1400.0,1025.0
02.02.2016,Badulla,C-5,1500.0,1500.0
02.02.2016,Ratnapura,H-2,1200.0,1180.0
02.02.2016,Hambantota,C-5 Sp,1700.0,1700.0
02.02.2016,Ratnapura,M-4,1300.0,1275.0
02.02.2016,Badulla,Gorosu,1200.0,825.0
02.02.2016,Matara,H-1,1500.0,1470.0
02.02.2016,Ratnapura,M-5,1300.0,1275.0
02.02.2016,National,C-5,1700.0,1579.29
02.02.2016,Ratnapura,C-5,1500.0,1480.0
02.02.2016,Ratnapura,C-5 Sp,1650.0,1600.0
02.02.2016,Ratnapura,Alba,2100.0,2000.0
02.02.2016,National,H-1,1520.0,1377.5
02.02.2016,Kurunegala,Heen,1200.0,1167.0
02.02.2016,Kalutara,H-1,1150.0,1110.0
02.02.2016,Colombo,C-5 Sp,1750.0,1750.0
02.02.2016,Kalutara,Alba,2000.0,2000.0
02.02.2016,Colombo,C-4,1600.0,1600.0
02.02.2016,Colombo,H-1,1450.0,1450.0
02.02.2016,Colombo,H-2,1400.0,1400.0
02.02.2016,Galle,C-4,1570.0,1550.0
02.02.2016,Gampaha,Gorosu,1100.0,975.0
02.02.2016,Colombo,C-5,1700.0,1700.0
02.02.2016,Kalutara,C-5 Sp,1700.0,1650.0
02.02.2016,Galle,C-5 Sp,1800.0,1750.0
02.02.2016,Kalutara,C-4,1450.0,1430.0
02.02.2016,Kalutara,M-5,1400.0,1360.0
02.02.2016,Kalutara,M-4,1260.0,1250.0
02.02.2016,Kalutara,H-2,1100.0,1030.0
09.02.2016,Matara,H-Faq,1380.0,1320.0
09.02.2016,Matara,H-2,1460.0,1430.0
09.02.2016,Matara,H-1,1500.0,1465.0
09.02.2016,Matara,M-4,1520.0,1490.0
09.02.2016,Matara,Alba,2100.0,2100.0
